id,amount,rent,label,image,deed_type,scoring,last_score_update
1,2000,281,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image52.jpg,PARTICIPATIVE,1,2023-09-20
2,7300,942,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image156.jpg,PARTICIPATIVE,1,2023-09-13
3,7200,864,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image44.jpg,PARTICIPATIVE,1,2023-09-8
4,9000,1246,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image211.jpg,PARTICIPATIVE,1,2023-09-3
5,2100,269,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image42.jpg,PARTICIPATIVE,1,2023-09-26
6,9800,1116,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image156.jpg,APARTMENT,4,2023-09-9
7,1500,223,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image139.jpg,PARTICIPATIVE,1,2023-09-19
8,4200,465,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image157.jpg,PARTICIPATIVE,1,2023-09-26
9,5000,603,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image226.jpg,PARTICIPATIVE,1,2023-09-25
10,6400,731,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image124.jpg,APARTMENT,4,2023-09-10
11,8900,946,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image62.jpg,APARTMENT,4,2023-09-20
12,9300,1394,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image111.jpg,APARTMENT,4,2023-09-14
13,6500,962,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image61.jpg,PARTICIPATIVE,1,2023-09-28
14,5700,653,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image85.jpg,APARTMENT,4,2023-09-13
15,8400,1048,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image18.jpg,PARTICIPATIVE,1,2023-09-28
16,3300,386,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image5.jpg,APARTMENT,4,2023-09-2
17,5200,586,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image226.jpg,APARTMENT,4,2023-09-2
18,8600,1286,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image30.jpg,APARTMENT,4,2023-09-12
19,7200,1017,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image95.jpg,PARTICIPATIVE,1,2023-09-21
20,5700,600,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image57.jpg,PARTICIPATIVE,1,2023-09-25
21,7000,824,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image95.jpg,APARTMENT,4,2023-09-22
22,5300,765,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image87.jpg,APARTMENT,4,2023-09-24
23,3800,455,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image86.jpg,PARTICIPATIVE,1,2023-09-16
24,8800,1011,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image121.jpg,APARTMENT,4,2023-09-30
25,3500,373,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image212.jpg,APARTMENT,4,2023-09-12
26,5500,811,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image35.jpg,PARTICIPATIVE,1,2023-09-23
27,9300,1014,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image110.jpg,PARTICIPATIVE,1,2023-09-12
28,5400,776,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image4.jpg,APARTMENT,4,2023-09-18
29,1800,223,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image50.jpg,PARTICIPATIVE,1,2023-09-22
30,7800,893,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image102.jpg,PARTICIPATIVE,1,2023-09-23
31,1100,153,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image180.jpg,PARTICIPATIVE,1,2023-09-23
32,3200,394,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image138.jpg,APARTMENT,4,2023-09-23
33,5200,749,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image137.jpg,APARTMENT,4,2023-09-17
34,7500,814,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image144.jpg,APARTMENT,4,2023-09-7
35,8300,1153,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image4.jpg,APARTMENT,4,2023-09-28
36,7300,912,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image6.jpg,APARTMENT,4,2023-09-3
37,3900,422,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image167.jpg,APARTMENT,4,2023-09-13
38,4600,600,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image91.jpg,APARTMENT,4,2023-09-11
39,8300,921,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image170.jpg,APARTMENT,4,2023-09-22
40,2700,348,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image105.jpg,PARTICIPATIVE,1,2023-09-1
41,7400,997,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image2.jpg,PARTICIPATIVE,1,2023-09-10
42,3300,493,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image211.jpg,PARTICIPATIVE,1,2023-09-29
43,6000,895,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image154.jpg,APARTMENT,4,2023-09-19
44,6000,682,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image22.jpg,PARTICIPATIVE,1,2023-09-10
45,1500,196,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image221.jpg,PARTICIPATIVE,1,2023-09-12
46,4800,684,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image1.jpg,APARTMENT,4,2023-09-2
47,8500,1052,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image126.jpg,APARTMENT,4,2023-09-23
48,2200,327,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image72.jpg,PARTICIPATIVE,1,2023-09-18
49,6300,797,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image180.jpg,APARTMENT,4,2023-09-25
50,6700,920,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image114.jpg,APARTMENT,4,2023-09-17
51,7300,923,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image180.jpg,APARTMENT,4,2023-09-24
52,2000,281,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image37.jpg,PARTICIPATIVE,1,2023-09-3
53,5200,769,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image219.jpg,APARTMENT,4,2023-09-15
54,7800,833,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image210.jpg,PARTICIPATIVE,1,2023-09-15
55,8600,1247,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image41.jpg,PARTICIPATIVE,1,2023-09-14
56,5300,561,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image175.jpg,APARTMENT,4,2023-09-16
57,4900,555,Faites Croître votre Portefeuille : Investissement Participatif dans des Biens Immobiliers à Fort Potentiel !,image17.jpg,PARTICIPATIVE,1,2023-09-27
58,4500,537,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image177.jpg,PARTICIPATIVE,1,2023-09-13
59,3300,332,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image63.jpg,PARTICIPATIVE,1,2023-09-21
60,7600,1070,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image109.jpg,PARTICIPATIVE,1,2023-09-25
61,3000,332,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image125.jpg,PARTICIPATIVE,1,2023-09-4
62,7700,1076,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image187.jpg,APARTMENT,4,2023-09-21
63,9000,1125,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image219.jpg,APARTMENT,4,2023-09-6
64,6900,720,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image48.jpg,APARTMENT,4,2023-09-17
65,9900,1478,Faites Croître votre Portefeuille : Investissement Participatif dans des Biens Immobiliers à Fort Potentiel !,image33.jpg,APARTMENT,4,2023-09-4
66,4900,508,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image123.jpg,PARTICIPATIVE,1,2023-09-13
67,4400,608,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image80.jpg,PARTICIPATIVE,1,2023-09-13
68,8400,1035,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image119.jpg,APARTMENT,4,2023-09-14
69,8400,1256,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image29.jpg,APARTMENT,4,2023-09-29
70,7300,733,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image135.jpg,PARTICIPATIVE,1,2023-09-6
71,8400,959,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image35.jpg,APARTMENT,4,2023-09-15
72,9400,1251,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image199.jpg,PARTICIPATIVE,1,2023-09-29
73,9700,1164,Faites Croître votre Portefeuille : Investissement Participatif dans des Biens Immobiliers à Fort Potentiel !,image163.jpg,PARTICIPATIVE,1,2023-09-1
74,5300,684,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image53.jpg,APARTMENT,4,2023-09-7
75,9600,1193,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image188.jpg,PARTICIPATIVE,1,2023-09-4
76,2900,394,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image39.jpg,PARTICIPATIVE,1,2023-09-16
77,3000,363,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image168.jpg,APARTMENT,4,2023-09-24
78,3800,402,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image144.jpg,PARTICIPATIVE,1,2023-09-18
79,4700,672,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image230.jpg,APARTMENT,4,2023-09-8
80,6000,768,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image193.jpg,PARTICIPATIVE,1,2023-09-26
81,9600,1097,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image32.jpg,APARTMENT,4,2023-09-19
82,4600,655,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image48.jpg,APARTMENT,4,2023-09-14
83,8000,975,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image40.jpg,APARTMENT,4,2023-09-13
84,4400,579,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image124.jpg,APARTMENT,4,2023-09-15
85,5000,503,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image13.jpg,APARTMENT,4,2023-09-3
86,8000,907,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image4.jpg,APARTMENT,4,2023-09-23
87,5100,732,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image124.jpg,PARTICIPATIVE,1,2023-09-24
88,4700,632,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image27.jpg,PARTICIPATIVE,1,2023-09-10
89,6900,897,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image87.jpg,PARTICIPATIVE,1,2023-09-9
90,8100,1035,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image163.jpg,APARTMENT,4,2023-09-20
91,6600,702,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image5.jpg,APARTMENT,4,2023-09-18
92,8500,1123,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image218.jpg,APARTMENT,4,2023-09-14
93,4000,531,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image221.jpg,APARTMENT,4,2023-09-23
94,4600,494,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image52.jpg,PARTICIPATIVE,1,2023-09-18
95,7900,926,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image95.jpg,APARTMENT,4,2023-09-21
96,5800,596,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image216.jpg,APARTMENT,4,2023-09-6
97,3200,410,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image164.jpg,PARTICIPATIVE,1,2023-09-17
98,2100,298,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image55.jpg,PARTICIPATIVE,1,2023-09-22
99,1500,154,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image27.jpg,PARTICIPATIVE,1,2023-09-16
100,5500,763,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image5.jpg,PARTICIPATIVE,1,2023-09-5
